player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Deshon Hall Jr.,98183,ED,LA TECH,10,5,0,,0,0,208,68.5,67.4,67.4,54.8,74.4,71.1,3,8,1,,8.0,2,0,1,0.0,0,2,23,0,4,462,439,2,36,280,121,0,23,225,233,0,16,18,0,13,0,0,0,
Kyle Bryant,98184,DI,MIAMI OH,3,0,0,,0,0,221,,40.1,76.3,61.2,29.8,,0,2,0,,,0,0,0,0.0,0,0,0,0,0,53,53,0,52,0,1,0,0,28,25,0,0,0,0,2,0,0,0,
Seth Mason,98185,ED,LA MONROE,10,4,0,100.0,0,0,209,56.4,47.6,62.3,52.0,47.2,37.1,1,3,0,7,25.0,8,0,1,79.2,2,0,0,0,4,334,332,0,3,318,11,0,2,124,206,0,11,20,2,4,0,6,11,3.0
Jason Gold Jr.,98186,DI,NWESTERN,1,0,0,,0,0,256,,62.2,70.7,57.4,63.3,69.7,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,9,9,1,8,0,0,0,0,5,4,0,1,1,0,0,0,0,0,
Kennedy Roberts,98188,DI,COAST CAR,11,1,0,,0,0,141,60.0,52.3,78.9,65.6,42.0,76.5,1,1,0,,0.0,0,0,0,0.0,0,1,0,0,0,115,115,9,69,1,36,0,0,66,49,0,3,5,0,3,0,0,0,
Kobe Hilton,98191,DI,MIAMI OH,1,0,0,,0,0,221,,52.6,69.5,59.7,55.2,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,6,6,0,6,0,0,0,0,2,4,0,0,0,0,0,0,0,0,
Immanuel Hickman,98192,ED,E CAROLINA,8,7,0,,0,0,156,,56.2,49.3,51.6,61.9,66.9,1,5,0,,6.3,1,0,1,0.0,0,0,0,0,0,229,229,0,18,156,55,0,0,121,108,0,5,8,0,6,0,0,0,
Quindarius Dunnigan,98193,ED,MIDDLE TN,8,3,0,,0,0,224,,60.3,80.9,56.4,61.7,49.9,0,2,0,,14.3,1,0,0,0.0,0,0,0,0,0,103,103,0,7,78,18,0,0,43,60,0,2,3,0,2,0,0,0,
Griffin Davies,98194,ED,OHIO,1,0,0,,0,0,259,,67.8,71.6,60.0,66.3,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,8,8,0,0,7,1,0,0,1,7,0,0,0,0,0,0,0,0,
Adrian Bickham,98195,ED,RICE,3,0,0,,0,0,275,60.0,58.1,74.5,61.2,55.9,76.2,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,1,13,12,0,0,12,0,0,1,8,4,1,0,1,0,2,0,0,0,
Anthony Collier,98197,DI,MIAMI OH,3,3,0,,0,0,221,59.3,56.5,17.0,57.4,60.5,74.8,0,2,0,,0.0,0,0,1,0.0,0,0,0,0,1,101,101,1,100,0,0,0,0,44,56,0,1,1,0,2,0,0,0,
Darrell Harding Jr.,98211,WR,DUKE,1,0,0,,0,0,154,,60.1,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Garrett Shrader,98212,WR,MISS STATE,1,0,0,,0,0,227,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Jack Sherwin,98226,DI,W MICHIGAN,1,0,0,,0,0,347,,60.4,66.3,59.9,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
DeVon Reaves,98227,ED,TROY,9,1,0,,0,0,318,,48.7,45.2,52.3,49.9,59.1,0,2,0,,11.1,1,0,1,0.0,0,1,0,0,0,203,203,0,3,156,44,0,0,92,111,0,6,7,0,3,0,0,0,
Derek Stingley Jr.,98253,CB,LSU,7,3,0,44.8,0,1,211,71.7,72.1,84.0,60.0,66.9,69.4,0,1,0,28,12.5,4,5,1,73.6,13,0,22,362,213,429,2,0,0,2,0,4,427,0,216,37,6,25,29,1,1,158,49,12.2
Thomas Sio,98274,DI,OREGON ST,1,0,0,,0,0,265,,60.2,65.0,59.7,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,2,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,
MarShawn Foster,98297,S,W MICHIGAN,1,0,0,,0,0,347,61.2,61.9,68.9,,60.0,,0,0,0,,,0,0,0,0.0,0,0,3,0,2,7,0,0,0,0,0,2,7,0,5,2,0,0,0,0,0,0,0,
