player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kyle Trask,39987,QB,FLORIDA,12,76.6,423,438,10.1,2.69,1,41,8.9,68.7,301,0,124,7.1,470,23,203,163,45.8,92.2,92.4,55.0,5,8,496,5,16.9,125.2,4.5,21,11,0,9,43,13,2.6,4278,9.8
Brady White,25506,QB,MEMPHIS,11,68.2,409,421,10.4,2.56,4,24,5.3,60.3,254,0,86,9.0,467,25,166,218,44.5,73.2,72.5,60.9,0,10,500,3,22.1,100.5,4.1,19,27,0,8,31,19,3.8,3380,8.0
Dillon Gabriel,86272,QB,UCF,10,74.2,387,413,11.6,2.77,6,26,5.9,60.0,248,0,117,13.6,451,39,159,323,63.5,90.9,90.4,66.9,2,4,483,1,17.9,109.9,4.7,21,17,0,18,32,11,2.3,3569,8.6
Mac Jones,60323,QB,ALABAMA,13,84.2,385,406,8.8,2.51,6,32,7.4,76.6,311,0,81,4.0,428,13,215,103,66.6,95.8,94.8,82.2,1,4,453,3,12.3,141.6,2.3,10,9,1,13,41,11,2.4,4494,11.1
Jarret Doege,60353,QB,W VIRGINIA,10,74.2,357,375,8.3,2.49,5,14,3.6,63.5,238,0,125,10.2,402,27,124,343,58.3,77.1,74.7,72.3,0,4,419,6,15.2,91.6,4.7,19,7,0,13,14,13,3.1,2577,6.9
Shane Buechele,12659,QB,SMU,10,75.8,359,370,8.3,2.51,1,19,4.8,65.1,241,0,99,11.4,414,31,143,287,73.4,88.1,84.4,74.9,3,6,440,3,19.2,105.2,4.6,19,21,0,7,23,12,2.7,3093,8.4
Brock Purdy,77672,QB,IOWA STATE,12,74.4,347,365,8.9,2.85,5,13,3.4,66.3,242,0,141,6.2,410,16,153,193,61.7,78.9,74.2,72.6,1,9,436,1,9.9,95.8,3.4,14,31,0,12,19,17,3.9,2751,7.5
Bo Nix,97790,QB,AUBURN,11,68.5,340,361,8.6,2.87,3,18,4.7,59.3,214,0,117,8.2,411,19,123,115,76.9,73.4,66.4,75.4,2,7,434,5,14.5,82.3,4.1,17,32,1,15,12,12,2.8,2412,6.7
Ian Book,40216,QB,NOTRE DAME,12,75.5,327,358,8.5,3.22,2,12,3.2,63.7,228,0,149,7.7,439,19,158,258,69.5,78.5,74.7,70.7,2,3,462,1,18.1,98.5,6.2,27,53,3,24,15,11,2.4,2827,7.9
Carson Strong,83524,QB,NEVADA,9,80.2,333,355,10.1,2.62,3,23,6.1,70.1,249,0,102,6.7,388,18,123,239,57.0,85.2,85.8,49.5,4,4,414,2,19.6,114.7,5.2,20,12,0,15,27,7,1.7,2855,8.0
Chase Brice,60363,QB,DUKE,11,66.0,326,352,8.7,2.4,2,10,2.7,54.3,191,0,136,11.2,412,24,113,154,39.6,49.7,46.4,62.1,10,15,435,1,24.3,64.7,8.0,33,21,1,13,10,22,5.1,2169,6.2
Will Rogers,124184,QB,MISS STATE,9,78.6,323,348,6.0,2.61,8,11,3.1,69.0,240,0,90,5.5,378,14,103,227,70.7,65.5,63.6,70.2,1,7,392,3,22.2,85.4,5.3,20,10,1,15,11,15,3.8,1979,5.7
Sam Howell,97599,QB,N CAROLINA,12,77.2,329,347,10.9,2.79,5,33,8.8,68.0,236,0,144,7.1,419,18,165,245,61.2,92.3,91.5,71.8,1,7,447,1,22.9,121.9,7.9,33,35,0,12,30,10,2.2,3555,10.2
Trevor Lawrence,77632,QB,CLEMSON,10,77.3,317,340,9.0,2.35,5,25,7.1,67.9,231,0,89,5.7,364,14,141,140,46.8,91.1,90.2,74.0,6,5,379,2,15.7,114.7,3.8,14,10,4,8,24,13,3.4,3153,9.3
Zach Wilson,82096,QB,BYU,12,80.3,320,337,10.9,2.81,1,31,8.6,72.7,245,0,79,4.7,365,12,169,128,46.7,95.4,95.5,63.6,2,3,389,1,13.9,136.3,3.0,11,16,2,12,32,4,1.0,3694,11.0
Phil Jurkovec,83533,QB,BOSTON COL,10,68.3,322,337,10.6,2.95,2,24,6.6,60.8,205,0,157,6.8,386,15,130,121,39.4,71.8,66.7,74.1,4,5,411,2,15.3,95.0,6.2,24,22,0,9,17,18,4.4,2558,7.6
Kenny Pickett,60515,QB,PITTSBURGH,9,73.7,315,333,9.4,3.04,3,10,2.8,61.0,203,0,121,12.5,392,29,115,268,31.7,69.8,67.0,67.0,3,9,419,1,17.4,84.8,5.4,21,36,0,12,13,14,3.3,2407,7.2
D'Eriq King,26636,QB,MIAMI FL,11,72.2,316,331,9.8,2.64,5,23,6.4,63.4,210,0,102,7.9,384,18,128,220,78.6,90.6,88.2,75.5,3,5,417,3,25.5,105.6,6.8,26,26,1,6,23,7,1.7,2683,8.1
Matt Corral,83517,QB,OLE MISS,10,79.6,309,324,10.9,2.95,5,24,7.0,71.0,230,2,122,6.5,395,16,162,226,64.6,90.5,87.3,76.0,2,13,419,2,18.9,117.3,5.8,23,44,0,8,29,16,3.8,3340,10.3
Connor Bazelak,99135,QB,MISSOURI,10,74.8,314,324,8.8,2.52,1,14,4.1,67.3,218,0,86,7.2,350,17,122,229,28.8,75.6,77.4,50.6,2,6,366,2,14.0,88.1,3.4,12,13,0,7,7,12,3.3,2367,7.3
Sam Ehlinger,60555,QB,TEXAS,10,66.9,305,323,11.0,3.03,4,17,4.8,60.1,194,0,124,4.9,381,10,129,311,82.8,79.9,76.5,70.4,5,5,410,1,20.2,105.5,6.6,25,33,1,8,26,7,1.7,2560,7.9
Charlie Brewer,60344,QB,BAYLOR,9,76.2,286,321,7.6,3.17,10,7,2.1,61.7,198,0,137,9.2,388,20,101,118,61.9,62.8,57.2,70.5,1,8,409,0,24.8,82.9,8.8,34,32,0,24,14,19,4.6,1948,6.1
Spencer Rattler,97408,QB,OKLAHOMA,11,78.3,300,317,10.2,3.11,3,32,9.4,67.5,214,0,112,8.9,371,21,148,261,45.9,92.5,92.5,67.9,2,7,398,1,21.4,118.4,6.5,24,30,2,10,28,12,3.0,3031,9.6
Chevan Cordeiro,75886,QB,HAWAII,9,73.5,294,315,9.5,2.81,3,14,4.3,61.9,195,0,124,9.7,388,21,111,180,54.8,65.7,59.5,71.7,4,6,404,1,24.2,88.1,7.7,30,42,1,13,14,11,2.7,2083,6.6
Malik Cunningham,60436,QB,LOUISVILLE,11,73.3,285,305,10.0,2.88,0,15,4.7,63.9,195,1,143,6.7,382,14,141,210,36.5,77.4,69.0,78.9,2,12,399,2,23.8,96.6,8.9,34,41,1,17,20,20,5.0,2615,8.6
Cornelious Brown IV,98356,QB,GA STATE,10,68.3,293,302,10.2,2.28,1,15,4.7,58.3,176,0,78,12.0,319,24,102,175,50.4,71.0,71.1,59.3,3,10,333,1,17.9,86.8,4.4,14,2,0,5,17,15,4.5,2260,7.5
Gunnar Watson,83570,QB,TROY,9,80.7,280,301,6.5,2.47,10,10,3.2,70.1,211,0,68,6.6,325,15,110,318,42.2,70.7,70.9,51.6,0,7,336,0,22.1,98.2,4.6,15,6,0,11,16,13,3.9,2140,7.1
Levi Lewis,60428,QB,LA LAFAYET,11,71.3,279,298,11.5,2.86,1,17,5.4,59.1,176,0,80,11.6,330,23,111,207,72.8,79.0,74.2,75.2,1,7,347,4,10.0,94.5,2.4,8,22,3,14,19,13,3.7,2268,7.6
Tyrrell Pigrome,46511,QB,W KENTUCKY,11,68.4,282,298,9.2,2.9,1,10,3.2,57.7,172,0,83,10.9,339,21,85,346,35.9,62.5,59.8,65.8,3,2,350,1,24.1,79.9,5.9,20,21,1,11,9,10,2.9,1605,5.4
Kellen Mond,60556,QB,TEXAS A&M,10,70.8,288,298,9.4,2.61,3,12,3.9,63.1,188,0,93,7.8,322,16,115,312,67.6,81.7,81.3,63.4,4,3,334,2,8.6,103.6,2.5,8,16,1,2,19,8,2.4,2282,7.7
Zac Thomas,39989,QB,APP STATE,12,71.8,277,295,10.8,2.67,1,13,4.2,63.1,186,0,77,6.5,352,13,117,108,58.9,74.3,71.8,65.2,1,11,373,2,28.6,92.5,6.3,22,34,3,13,20,13,3.5,2184,7.4
Ken Seals,124359,QB,VANDERBILT,9,73.4,263,293,8.1,2.52,3,14,4.5,63.5,186,0,116,3.6,324,7,98,333,44.9,57.0,57.7,52.7,2,10,341,5,15.5,81.8,5.6,18,13,3,22,12,22,6.5,1929,6.6
Asher O'Hara,78529,QB,MIDDLE TN,9,75.8,269,290,7.5,2.66,1,15,4.8,66.2,192,0,118,5.9,347,12,98,224,76.7,77.1,70.0,73.8,1,8,372,1,19.5,87.7,6.6,23,34,0,19,12,14,3.8,1961,6.8
Clayton Tune,77652,QB,HOUSTON,8,72.1,269,287,10.3,3.03,5,18,6.0,59.2,170,0,94,12.4,324,24,113,182,57.9,84.7,80.4,74.3,5,10,341,2,17.0,84.0,4.9,16,21,2,6,15,10,2.9,2040,7.1
Peyton Ramsey,40186,QB,NWESTERN,9,74.1,247,283,8.8,3.1,4,14,4.8,60.8,172,0,125,6.0,333,11,112,256,58.7,78.5,78.6,62.5,3,8,344,2,12.0,80.6,4.5,15,34,0,29,12,10,2.9,1733,6.1
Brady McBride,77641,QB,TEXAS ST,9,69.1,272,282,8.1,2.78,1,16,5.2,61.3,173,0,100,8.0,331,15,99,314,62.2,51.7,52.6,52.6,1,7,357,1,22.0,91.3,6.6,22,25,0,8,17,19,5.3,1921,6.8
Desmond Ridder,55086,QB,CINCINNATI,10,73.5,264,280,9.4,2.65,7,14,4.8,66.4,186,0,74,4.1,327,8,129,138,44.9,76.3,68.8,77.3,1,6,340,1,28.4,105.2,6.4,21,25,0,8,19,11,3.2,2290,8.2
Sam Hartman,77618,QB,WAKE,9,68.2,261,274,11.7,2.86,2,21,7.3,58.0,159,0,105,10.7,320,19,107,339,55.1,77.1,78.9,52.3,4,5,337,3,23.8,92.5,7.8,25,21,0,7,13,13,3.9,2224,8.1
Grant Wells,97784,QB,MARSHALL,10,70.6,255,271,11.5,2.65,6,22,7.6,60.5,164,0,71,8.9,295,16,105,214,61.9,73.8,74.3,57.8,1,9,313,2,15.5,92.9,3.7,11,12,2,7,18,14,4.5,2089,7.7
Holton Ahlers,77651,QB,E CAROLINA,8,71.6,250,269,9.1,2.84,4,17,5.8,61.3,165,0,117,7.8,302,14,94,156,61.2,74.3,72.8,63.2,5,9,325,1,16.2,91.3,6.3,19,14,1,9,18,12,3.7,1920,7.1
Brennan Armstrong,77696,QB,VIRGINIA,9,68.3,259,269,10.8,2.86,1,20,7.1,58.4,157,0,86,11.3,329,20,101,335,82.9,90.3,85.2,78.8,2,11,347,0,22.1,88.7,5.8,19,40,1,6,18,10,2.9,2114,7.9
Bailey Hockman,60383,QB,NC STATE,10,75.7,239,265,9.8,2.96,4,18,6.3,63.8,169,0,116,6.6,308,12,109,248,39.5,73.9,73.4,60.0,1,11,329,2,19.8,86.7,7.5,23,16,1,20,13,16,4.9,2061,7.8
