player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Michael Jordan,28021,C,OHIO STATE,14,100.0,0,260,65.8,75.3,61.5,1,13,591,100.0,100.0,98.6,3,15,1,1104,1104,0,0,1104,628,628,0,0,476,0
Isaiah Prince,47019,T,OHIO STATE,14,100.0,6,260,72.2,68.4,79.7,4,18,591,100.0,100.0,97.6,18,25,3,1104,0,0,0,1104,628,628,0,1103,476,1
Malcolm Pridgeon,41421,G,OHIO STATE,14,100.0,1,260,66.8,71.9,68.5,3,11,591,100.0,100.0,98.5,11,16,2,1104,0,1104,0,1104,628,628,0,0,476,0
Cody Conway,46284,T,SYRACUSE,13,100.0,0,304,67.5,86.1,55.1,0,11,546,100.0,100.0,98.4,7,14,3,1093,0,0,1020,1093,593,593,0,73,500,0
Koda Martin,46231,T,SYRACUSE,13,100.0,0,304,71.2,70.4,70.3,3,17,546,100.0,100.0,97.4,4,24,4,1093,0,0,72,1093,593,593,0,1017,500,3
Airon Servais,41573,C,SYRACUSE,13,100.0,0,304,53.9,60.4,52.2,2,12,544,100.0,100.0,98.5,6,15,1,1087,1087,0,0,1087,591,591,0,0,496,0
Elijah Rodriguez,46835,G,TEXAS,14,100.0,0,311,66.3,75.2,60.6,4,19,557,100.0,100.0,97.4,3,26,3,1082,293,6,0,1082,580,580,781,2,502,0
Calvin Anderson,46247,T,TEXAS,14,99.9,0,311,71.3,78.4,64.9,4,15,556,99.8,99.8,97.0,7,26,7,1081,0,0,1079,1082,579,580,0,0,502,2
Jared Thomas,36609,C,NWESTERN,14,100.0,2,256,62.3,71.1,57.4,5,11,584,100.0,100.0,98.5,3,17,1,1080,1080,0,0,1080,622,622,0,0,458,0
Patrick Vahe,46039,G,TEXAS,14,100.0,2,311,55.0,65.9,51.4,2,21,554,100.0,100.0,97.6,4,25,2,1076,0,1076,0,1076,577,577,0,0,499,0
Samuel Cosmi,60114,T,TEXAS,14,100.0,0,311,79.7,82.8,74.5,3,19,545,100.0,100.0,97.4,4,25,3,1055,0,0,0,1055,567,567,0,1053,488,2
Aaron Roberts,46102,G,SYRACUSE,13,100.0,0,304,55.0,72.9,48.8,0,10,529,100.0,100.0,98.7,5,12,2,1049,0,1049,0,1049,576,576,0,0,473,0
Rashawn Slater,59971,T,NWESTERN,14,100.0,0,256,75.3,76.9,70.5,1,15,558,100.0,100.0,98.2,2,18,2,1048,0,0,0,1048,594,594,0,1048,454,0
Nathan Gilliam,25105,T,WAKE,13,100.0,1,339,61.7,70.7,58.1,4,17,491,100.0,100.0,97.0,6,25,4,1038,0,6,0,1038,511,511,36,996,527,0
Jake Benzinger,39255,T,WAKE,13,100.0,0,339,53.5,60.5,53.3,10,19,488,100.0,100.0,96.2,7,33,4,1037,0,0,978,1037,508,508,0,57,529,2
Garrett McGhin,46165,T,E CAROLINA,12,100.0,0,156,71.9,80.7,60.5,2,17,621,100.0,100.0,98.0,3,22,3,1026,0,0,53,1026,662,662,0,972,364,0
Max Scharping,46961,T,N ILLINOIS,14,100.0,0,254,82.6,89.3,73.2,0,10,489,100.0,100.0,98.8,1,11,1,1026,0,0,1013,1026,517,517,0,0,509,13
Luke Shively,24080,C,N ILLINOIS,14,100.0,0,254,67.3,72.7,64.8,1,17,489,100.0,100.0,98.0,4,19,1,1026,1026,0,0,1026,517,517,0,0,509,0
Blake Blackmar,46057,G,BAYLOR,13,100.0,0,118,65.7,87.1,58.8,1,6,579,100.0,100.0,98.9,7,10,3,1022,0,0,0,1022,611,611,1020,0,411,0
Sam Tecklenburg,47316,C,BAYLOR,13,99.9,1,118,62.1,68.2,58.4,5,19,578,99.8,99.8,97.6,5,26,2,1020,1020,0,0,1021,610,611,0,0,410,0
Patrick Lawrence,46878,T,BAYLOR,13,100.0,1,118,58.6,71.9,53.2,5,31,576,100.0,100.0,96.5,12,38,2,1015,0,0,0,1015,608,608,0,1013,407,0
Teven Jenkins,41534,T,OKLA STATE,13,100.0,0,262,78.5,78.5,77.4,1,18,547,100.0,100.0,97.9,6,21,2,1012,0,0,226,1012,584,584,0,783,428,3
Ryan Anderson,46883,C,WAKE,13,100.0,1,339,72.3,89.5,64.5,1,5,488,100.0,100.0,99.2,1,7,1,1012,883,4,0,1012,508,508,125,0,504,0
Jaxson Kirkland,60215,G,WASHINGTON,14,100.0,0,340,64.6,77.1,60.4,1,16,466,100.0,100.0,98.0,5,18,1,1011,0,0,0,1011,496,496,1011,0,515,0
Jacob Still,41563,C,ARK STATE,13,100.0,0,113,58.4,63.8,55.9,3,17,519,100.0,100.0,97.5,6,23,3,1011,1011,0,0,1011,546,546,0,0,465,0
Dustin Woodard,27124,G,MEMPHIS,14,100.0,1,218,80.3,87.4,78.9,1,8,442,100.0,100.0,98.8,4,10,1,1010,7,0,0,1010,471,471,1003,0,539,0
Lanard Bonner,21863,T,ARK STATE,13,99.9,2,113,70.0,78.9,65.1,5,6,518,99.8,99.8,98.7,7,12,1,1006,0,0,1005,1007,545,546,0,1,461,0
Drew Kyser,37099,C,MEMPHIS,14,100.0,1,218,79.4,81.3,77.9,1,11,440,100.0,100.0,98.4,5,13,1,1005,1005,0,0,1005,469,469,0,0,536,0
Dylan Parham,60953,G,MEMPHIS,14,100.0,0,218,73.7,75.9,73.7,0,15,440,100.0,100.0,97.6,9,18,3,1005,0,1005,0,1005,469,469,0,0,536,0
Paul Adams,46846,T,MISSOURI,13,100.0,3,229,64.7,63.3,64.9,2,19,471,100.0,100.0,97.1,7,24,3,1004,0,0,0,1004,504,504,0,1002,500,1
Kaleb McGary,46912,T,WASHINGTON,14,100.0,0,340,77.9,78.0,75.6,1,14,464,100.0,100.0,98.0,8,17,2,1004,0,0,0,1004,494,494,0,983,510,21
Trevon Tate,46258,T,MEMPHIS,14,100.0,1,218,81.4,83.7,78.0,1,8,437,100.0,100.0,98.5,7,11,2,995,0,0,992,995,466,466,0,2,529,0
J.R. Hensley,37017,G,HAWAII,14,100.0,3,180,73.3,85.4,77.1,3,3,632,100.0,100.0,99.4,14,7,1,994,0,994,0,994,666,666,0,0,328,0
Tre'Vour Wallace-Simms,41855,G,MISSOURI,13,100.0,0,229,66.2,78.0,61.2,2,5,464,100.0,100.0,99.2,1,7,0,991,0,0,0,991,496,496,990,0,495,0
Phil Haynes,29244,G,WAKE,13,100.0,0,339,68.3,76.7,65.4,0,11,480,100.0,100.0,98.4,3,13,2,989,0,989,0,989,500,500,0,0,489,0
Abraham Lucas,60218,T,WASH STATE,13,100.0,0,341,75.3,85.1,62.4,2,17,723,100.0,100.0,98.7,5,19,0,989,0,5,0,989,749,749,0,980,240,0
Andre Dillard,29250,T,WASH STATE,13,100.0,1,341,83.9,92.6,71.8,2,9,723,100.0,100.0,99.1,5,12,1,989,0,0,980,989,749,749,0,0,240,5
Damien Lewis,81532,G,LSU,13,100.0,2,211,77.1,82.1,76.3,1,6,450,100.0,100.0,99.0,7,8,1,987,0,0,0,987,481,481,987,0,506,0
Lloyd Cushenberry III,41924,C,LSU,13,100.0,0,211,77.1,85.6,72.1,1,6,449,100.0,100.0,99.0,0,8,1,982,982,0,0,982,480,480,0,0,502,0
John Keenoy,45568,C,W MICHIGAN,13,100.0,0,347,76.9,86.7,73.0,0,3,439,100.0,100.0,99.4,3,4,1,982,982,0,0,982,472,472,0,0,510,0
Kohl Levao,75850,T,HAWAII,14,100.0,0,180,64.4,68.4,61.4,4,17,626,100.0,100.0,97.2,3,28,7,982,212,0,0,982,661,661,0,769,321,1
Carlos Johnson,28992,T,MIDDLE TN,14,99.8,0,224,61.3,78.6,50.3,4,12,562,99.6,99.7,98.0,3,19,3,981,0,0,961,983,586,588,0,1,395,17
James O'Hagan,28134,C,BUFFALO,14,100.0,1,126,88.0,88.7,88.3,0,4,452,100.0,100.0,99.6,7,4,0,980,980,0,0,980,491,491,0,0,489,0
Josh Fannin,37205,C,MIDDLE TN,14,100.0,0,224,62.7,69.2,62.0,1,15,564,100.0,100.0,98.0,7,19,3,979,979,0,0,979,587,587,0,0,392,0
Frederick Mauigoa,41388,C,WASH STATE,13,100.0,0,341,67.8,78.0,61.1,7,15,720,100.0,100.0,98.5,2,22,0,978,971,0,0,978,746,746,0,0,232,5
Jackson Barton,46978,T,UTAH,14,100.0,0,328,69.5,84.7,59.7,0,10,477,100.0,100.0,98.7,2,11,1,978,0,0,976,978,503,503,0,0,475,0
Luke Juriga,29571,G,W MICHIGAN,13,100.0,1,347,71.6,84.2,68.0,2,5,437,100.0,100.0,99.0,3,8,1,977,0,0,0,977,470,470,977,0,507,0
Jack Anderson,60130,G,TEXAS TECH,12,100.0,1,315,70.4,82.4,67.7,1,9,583,100.0,100.0,99.0,6,11,1,976,0,0,0,976,617,617,976,0,359,0
Terence Steele,39461,T,TEXAS TECH,12,100.0,0,315,70.3,71.8,70.6,4,19,583,100.0,100.0,97.7,9,25,2,976,0,0,0,976,617,617,0,975,359,0
Jake Brown,28920,T,UCF,13,100.0,1,323,60.3,60.9,61.0,1,22,430,100.0,100.0,96.9,7,25,2,976,0,0,7,976,465,465,0,968,511,1
Jordan Johnson,28921,C,UCF,13,100.0,0,323,75.6,83.7,73.6,1,8,430,100.0,100.0,99.0,4,9,0,976,975,0,0,976,465,465,0,0,511,1
Luke Wattenberg,41024,G,WASHINGTON,14,100.0,1,340,63.6,59.2,64.4,4,11,451,100.0,100.0,98.1,6,16,1,975,0,975,0,975,480,480,0,0,495,0
Will Noble,26633,C,HOUSTON,13,100.0,1,182,53.0,57.5,49.8,2,10,524,100.0,100.0,98.5,4,14,2,975,975,0,0,975,559,559,0,0,416,0
Trystan Colon-Castillo,41117,C,MISSOURI,13,100.0,0,229,64.0,74.9,60.3,2,12,455,100.0,100.0,98.5,5,14,0,974,974,0,0,974,487,487,0,0,487,0
Garrett Bradbury,46013,C,NC STATE,13,99.9,0,248,84.8,86.3,84.0,1,10,512,100.0,100.0,98.5,4,13,2,974,974,0,0,975,534,534,0,0,440,0
Josh Jones,26634,T,HOUSTON,13,100.0,0,182,71.9,88.3,62.8,0,7,518,100.0,100.0,98.7,8,10,3,973,0,0,968,973,554,554,0,5,419,0
John Molchon,46921,G,BOISE ST,13,100.0,0,120,69.6,75.5,68.1,2,14,521,100.0,100.0,98.1,4,18,2,973,0,973,0,973,535,535,0,0,438,0
Ezra Cleveland,41973,T,BOISE ST,13,100.0,0,120,85.3,84.9,81.0,4,8,521,100.0,100.0,98.5,4,14,2,973,0,0,972,973,535,535,0,0,438,1
Garrett Larson,45560,C,BOISE ST,13,100.0,1,120,67.9,59.3,73.4,9,13,519,100.0,100.0,97.3,6,25,3,973,971,0,0,973,534,534,0,0,439,0
D'Ante Smith,41497,T,E CAROLINA,12,100.0,2,156,63.8,74.5,57.4,5,23,586,100.0,100.0,97.3,7,30,2,973,0,0,971,973,625,625,0,0,348,1
Riley Mayfield,46910,T,N TEXAS,13,100.0,0,251,72.3,70.6,68.2,2,25,545,100.0,100.0,96.4,0,33,6,970,0,0,0,970,576,576,0,969,394,0
Jaylon Moore,43678,T,W MICHIGAN,13,100.0,0,347,66.2,81.8,57.0,2,8,433,100.0,100.0,98.4,1,12,2,967,0,0,967,967,464,464,0,0,503,0
Jordan Agasiva,60184,G,UTAH,14,100.0,2,328,60.1,68.6,56.2,1,11,472,100.0,100.0,98.5,10,13,1,966,0,0,0,966,498,498,966,0,468,0
Jordan Reid,60805,T,MICH STATE,13,100.0,1,223,67.5,69.8,62.2,5,19,548,100.0,100.0,97.1,4,28,4,966,0,0,0,966,579,579,0,958,387,6
Cortez Herrin,41765,G,E CAROLINA,12,100.0,0,156,56.3,53.2,54.5,7,21,600,100.0,100.0,96.7,3,34,6,965,0,964,0,965,640,640,0,0,325,0
Elex Woodworth,27802,G,N TEXAS,13,100.0,0,251,73.1,80.9,70.7,4,9,543,100.0,100.0,98.3,3,16,3,964,0,911,52,964,573,573,0,0,391,0
Marcus Norman,46968,T,USF,13,100.0,1,327,67.2,63.1,67.2,2,23,497,100.0,100.0,96.1,6,32,7,960,0,0,4,960,522,522,0,955,438,1
William Atterbury,46361,G,USF,13,100.0,0,327,62.8,75.6,59.6,1,13,497,100.0,100.0,97.8,5,18,4,960,0,0,0,960,522,522,960,0,438,0
Carson Green,60118,T,TEXAS A&M,13,100.0,0,312,63.9,67.4,59.8,4,19,478,100.0,100.0,97.2,6,25,2,959,0,0,0,959,521,521,0,959,438,0
Manase Mose,59950,G,N TEXAS,13,100.0,0,251,73.3,79.9,69.6,1,10,535,100.0,100.0,98.8,2,12,1,959,0,0,0,959,565,565,958,0,394,0
Dan Moore Jr.,60120,T,TEXAS A&M,13,100.0,1,312,57.4,63.3,52.4,6,20,478,100.0,100.0,96.0,5,32,6,959,0,0,959,959,521,521,0,0,438,0
Evin Ksiezarczyk,14214,T,BUFFALO,14,100.0,0,126,72.4,76.8,67.4,3,10,438,100.0,100.0,97.8,3,16,3,957,0,0,955,957,474,474,0,0,483,0
Sam Mustipher,13026,C,NOTRE DAME,13,100.0,0,258,73.6,80.4,71.1,2,7,499,100.0,100.0,98.9,3,10,1,956,956,0,0,956,522,522,0,0,434,0
Julian Sams,77500,G,KENT STATE,12,100.0,0,201,59.1,75.5,52.1,0,17,516,100.0,100.0,98.2,4,18,1,953,0,831,120,953,560,560,0,0,393,0
Nate Warnock,59783,C,KENT STATE,12,100.0,2,201,66.4,76.7,63.7,0,11,516,100.0,100.0,98.9,12,11,0,953,951,0,0,953,560,560,0,0,393,0
Jarrid Williams,38432,T,HOUSTON,13,100.0,1,182,77.4,80.8,76.9,1,10,511,100.0,100.0,98.5,8,13,2,952,0,0,14,952,544,544,0,926,408,12
Ross Pierschbacher,46815,C,ALABAMA,15,100.0,0,103,67.2,75.9,63.7,2,4,477,100.0,100.0,99.0,3,8,2,952,952,0,0,952,494,494,0,0,458,0
Yasir Durant,59878,T,MISSOURI,13,100.0,0,229,72.9,84.7,62.7,2,5,444,100.0,100.0,99.0,3,8,1,952,0,0,950,952,477,477,0,0,475,0
Amir Luckett,59864,T,MIDDLE TN,14,99.9,0,224,66.9,68.6,65.6,2,18,550,99.8,99.8,96.4,4,30,10,951,0,0,2,952,572,573,0,941,379,5
Kayode Awosika,44909,T,BUFFALO,14,100.0,0,126,82.2,77.2,79.6,1,12,436,100.0,100.0,97.6,2,17,4,950,0,0,0,950,473,473,0,921,477,29
Tyler Jones,46378,T,NC STATE,13,100.0,0,248,71.9,82.2,64.6,2,9,497,100.0,100.0,98.9,4,11,0,947,0,3,934,947,519,519,0,4,428,5
Kirk Barron,30032,C,PURDUE,13,100.0,0,273,66.8,79.4,60.8,2,16,564,100.0,100.0,98.2,5,19,1,945,944,0,0,945,600,600,0,0,345,1
Ilm Manning,75852,T,HAWAII,14,100.0,0,180,63.8,78.7,49.0,7,7,601,100.0,100.0,97.5,3,22,8,943,0,0,943,943,631,631,0,0,312,0
Erik McCoy,37347,C,TEXAS A&M,13,100.0,0,312,72.6,76.7,69.5,4,3,466,100.0,100.0,99.2,1,7,0,942,942,0,0,942,506,506,0,0,436,0
Thomas Sargeant,41824,C,LIBERTY,12,100.0,0,206,61.8,81.3,54.3,0,8,473,100.0,100.0,98.7,2,10,2,941,941,0,0,941,496,496,0,0,445,0
Liam Ryan,41618,G,WASH STATE,13,100.0,0,341,69.3,79.0,64.5,6,14,690,100.0,100.0,98.6,2,20,0,940,0,932,0,940,716,716,0,0,224,5
Reggie Bain,28501,T,FAU,12,100.0,1,165,71.9,75.0,67.8,7,15,416,100.0,100.0,97.1,4,23,1,940,0,0,938,940,438,438,0,0,502,0
Robert Hainsey,59980,T,NOTRE DAME,13,100.0,1,258,76.8,80.7,76.1,2,9,488,100.0,100.0,98.7,8,12,1,940,0,0,0,940,510,510,0,940,430,0
Demetrius Knox,46832,G,OHIO STATE,12,100.0,0,260,70.3,76.5,68.2,4,8,501,100.0,100.0,98.4,4,14,2,939,0,0,0,939,533,533,939,0,406,0
Liam Eichenberg,41851,T,NOTRE DAME,13,100.0,0,258,63.1,63.5,60.8,2,18,496,100.0,100.0,97.4,2,23,3,939,0,0,939,939,519,519,0,0,420,0
Julio Lozano,40637,T,LIBERTY,12,100.0,0,206,74.6,82.6,67.5,1,10,472,100.0,100.0,98.0,2,15,4,938,0,0,937,938,495,495,0,0,443,1
Alex Leatherwood,58468,G,ALABAMA,15,100.0,0,103,65.0,62.0,65.7,4,15,470,100.0,100.0,97.6,3,21,2,935,0,0,0,935,486,486,922,12,449,0
Andre Harris Jr.,58501,G,ARK STATE,13,100.0,0,113,60.5,72.5,56.7,0,6,486,100.0,100.0,99.2,3,7,1,933,0,932,0,933,509,509,0,0,424,0
Solo Vaipulu,75849,G,HAWAII,14,100.0,0,180,62.4,74.4,59.3,2,11,590,100.0,100.0,98.4,7,16,3,933,0,1,0,933,617,617,932,0,316,0
Shane Lemieux,28149,G,OREGON,13,100.0,0,264,83.9,79.0,84.8,0,9,463,100.0,100.0,98.6,3,11,2,933,0,932,0,933,489,489,0,0,444,1
Malique Johnson,60155,G,UAB,14,100.0,0,321,61.9,80.9,58.4,5,3,382,100.0,100.0,98.7,4,9,1,932,0,0,0,932,391,391,932,0,541,0
Wes Martin,46087,G,INDIANA,12,100.0,0,190,76.7,83.6,74.2,4,8,538,100.0,100.0,98.5,3,14,2,932,0,932,0,932,584,584,0,0,348,0
Danny Pinter,47339,T,BALL ST,12,100.0,0,117,74.8,81.5,67.4,2,20,535,100.0,100.0,97.6,3,24,2,931,0,1,0,931,564,564,0,927,367,0
Markus Boyer,59698,C,FRESNO ST,14,100.0,0,169,70.1,76.6,67.0,5,9,482,100.0,100.0,98.3,5,15,1,931,611,1,0,931,499,499,319,0,432,0
James Davis,60147,T,UAB,14,100.0,0,321,68.2,81.7,59.2,3,9,380,100.0,100.0,97.9,3,14,2,930,0,0,928,930,389,389,0,0,541,2
Junior Diaz,26655,C,FAU,12,100.0,0,165,69.1,78.8,65.4,0,4,413,100.0,100.0,99.3,2,5,1,930,929,0,0,930,435,435,0,0,495,0
Dontae Duff,37407,G,LIBERTY,12,100.0,0,206,74.7,88.4,69.6,1,5,470,100.0,100.0,98.9,0,8,2,930,0,0,0,930,493,493,930,0,437,0
Orlando Umana,60185,C,UTAH,14,100.0,1,328,65.3,69.9,62.1,4,12,448,100.0,100.0,98.0,4,17,1,928,696,232,0,928,472,472,0,0,456,0
Patrick Osterhage,34820,G,WAKE,12,100.0,0,339,60.6,71.1,55.7,1,14,444,100.0,100.0,97.9,0,17,2,927,0,54,0,927,462,462,873,0,465,0
Jedrick Wills Jr.,58467,T,ALABAMA,15,100.0,1,103,68.7,77.9,63.1,1,18,469,100.0,100.0,98.0,5,19,0,927,0,0,0,927,486,486,0,922,441,4
Micah St. Andrew,46782,G,FRESNO ST,14,100.0,0,169,73.7,75.1,71.7,1,12,482,100.0,100.0,98.7,1,13,0,927,319,0,0,927,498,498,607,0,429,1
Calvin Throckmorton,28238,T,OREGON,13,100.0,0,264,84.0,87.4,78.4,2,10,461,100.0,100.0,98.5,0,13,1,926,38,0,371,926,487,487,111,395,439,10
Will Ulmer,41256,T,MARSHALL,13,100.0,0,214,63.0,56.4,64.8,8,26,481,100.0,100.0,96.3,1,35,1,925,0,0,925,925,501,501,0,0,424,0
Isaac Mcclain,59928,T,NEW MEX ST,12,100.0,0,242,66.9,78.7,54.7,2,23,622,100.0,100.0,96.9,4,32,7,925,0,0,0,925,646,646,133,792,279,0
Christian Cronk,46237,T,FRESNO ST,14,100.0,0,169,62.2,66.2,58.5,8,8,482,100.0,100.0,97.9,2,18,2,925,0,84,841,925,497,497,0,0,428,0
Sage Doxtater,46338,T,NEW MEX ST,12,100.0,0,242,60.8,70.7,52.5,10,19,622,100.0,100.0,96.5,6,36,7,925,0,0,925,925,646,646,0,0,279,0
Brian Trujillo,36927,G,NEW MEX ST,12,100.0,1,242,68.5,79.3,65.5,4,12,622,100.0,100.0,98.1,8,20,4,925,0,925,0,925,646,646,0,0,279,0
Dennis Edwards,46624,G,PURDUE,13,100.0,1,273,62.2,78.2,52.9,1,12,556,100.0,100.0,98.7,3,14,1,924,0,144,2,924,592,592,777,0,332,0
Chandler Brewer,13976,G,MIDDLE TN,14,100.0,1,224,67.0,85.2,61.4,2,7,541,100.0,100.0,98.6,3,12,3,924,0,2,0,924,562,562,918,0,362,4
Jamin Smith,46783,C,NEW MEX ST,12,100.0,0,242,70.2,76.9,69.0,6,11,621,100.0,100.0,98.1,7,20,3,924,924,0,0,924,645,645,0,0,279,0
Kody Russey,41726,C,LA TECH,13,100.0,0,208,71.5,75.8,68.1,3,15,531,100.0,100.0,97.7,2,21,3,924,924,0,0,924,556,556,0,0,368,0
Bryce Harris,36827,C,TOLEDO,13,100.0,1,316,77.0,75.6,77.4,0,8,464,100.0,100.0,98.9,4,9,1,923,923,0,0,923,494,494,0,0,429,0
Thayer Munford,59994,T,OHIO STATE,13,100.0,1,260,67.5,67.2,66.1,3,18,493,100.0,100.0,97.9,4,21,0,922,0,0,921,922,521,521,0,0,401,1
Levi Brown,36815,C,MARSHALL,13,100.0,0,214,66.0,77.2,61.2,2,16,477,100.0,100.0,97.9,3,19,1,921,921,0,0,921,497,497,0,0,424,0
Tommy Doles,46702,G,NWESTERN,12,100.0,0,256,59.7,65.4,56.0,5,11,485,100.0,100.0,97.9,1,18,2,918,0,0,0,918,515,515,918,0,403,0
Jordan Dowrey,36905,G,MARSHALL,13,100.0,0,214,67.9,72.5,67.4,2,16,476,100.0,100.0,97.9,5,19,1,917,0,917,0,917,496,496,0,0,421,0
Willie Wright,46989,T,TULSA,12,100.0,0,320,60.3,65.4,56.0,2,19,389,100.0,100.0,96.3,1,25,4,916,0,0,0,916,410,410,0,912,506,4
Dominique Briggs,60143,G,TULANE,13,100.0,0,319,60.9,76.0,60.9,0,10,359,100.0,100.0,98.6,9,10,0,916,0,910,0,916,384,384,6,0,532,0
Chandler Miller,26727,C,TULSA,12,100.0,0,320,67.7,73.9,67.1,2,10,389,100.0,100.0,98.5,6,12,0,916,916,0,0,916,410,410,0,0,506,0
Addison Ooms,28209,C,CAL,13,100.0,0,130,58.9,48.3,62.6,1,19,506,100.0,100.0,97.4,4,23,3,915,915,0,0,915,531,531,0,0,384,0
Braylon Jones,26635,G,HOUSTON,13,100.0,0,182,62.2,69.8,59.1,2,11,492,100.0,100.0,98.5,2,14,1,914,0,0,0,914,527,527,914,0,387,0
Kyle Chung,30756,G,VA TECH,13,100.0,0,337,62.8,85.0,55.5,0,9,458,100.2,100.2,98.8,4,10,1,914,366,467,0,914,481,480,73,8,433,0
Nick Harris,46752,C,WASHINGTON,13,100.0,1,340,76.6,80.5,75.2,1,7,411,100.0,100.0,99.0,5,8,0,911,911,0,0,911,439,439,0,0,472,0
Brandon Walton,41533,T,FAU,12,100.0,0,165,71.7,70.3,68.6,3,18,404,100.0,100.0,97.2,2,22,1,910,0,0,0,910,425,425,0,907,485,1
Jovahn Fair,46125,G,TEMPLE,13,100.0,0,306,74.1,82.4,70.9,3,3,454,100.0,100.0,98.7,3,9,3,909,0,902,1,909,466,466,0,2,443,4
Robert Kraeling,41976,T,DUKE,13,100.0,0,154,43.3,31.4,51.0,9,26,519,100.0,100.0,94.9,3,44,9,909,0,0,0,909,538,538,0,909,371,0
Corey Dublin,60142,C,TULANE,13,100.0,0,319,58.4,52.3,62.0,1,13,358,100.0,100.0,98.0,7,14,0,909,904,5,0,909,383,383,0,0,526,0
Cody Creason,38799,G,ARIZONA,12,100.0,0,109,71.0,76.3,69.7,0,13,439,100.0,100.0,98.1,9,15,2,908,0,597,0,908,473,473,0,310,435,0
Jonah Williams,41651,T,ALABAMA,15,100.0,0,103,89.2,88.6,83.6,2,10,466,100.0,100.0,98.7,4,12,0,908,0,4,904,908,482,482,0,0,426,0
John Leglue,46859,G,TULANE,13,100.0,1,319,65.6,86.6,60.8,0,8,356,100.0,100.0,98.9,4,8,0,908,0,1,0,908,381,381,907,0,527,0
Cole Prudhomme,14037,C,LA LAFAYET,14,100.0,1,207,68.8,75.1,65.5,1,7,400,100.0,100.0,97.7,2,13,5,908,908,0,0,908,415,415,0,0,493,0
Ken Marks,46118,G,LA LAFAYET,14,100.0,0,207,59.0,65.5,56.0,5,11,400,100.0,100.0,97.0,2,20,4,908,0,885,0,908,415,415,23,0,493,0
Donovan Laie,81553,T,ARIZONA,12,100.0,1,109,62.5,82.3,53.0,0,6,439,100.0,100.0,98.4,7,10,4,907,0,0,310,907,473,473,0,597,434,0
Johnny Wilson,45581,C,OKLA STATE,12,100.0,1,262,61.5,78.4,53.3,0,6,485,100.0,100.0,99.4,3,6,0,907,907,0,0,907,519,519,0,0,388,0
Morgan James,51639,G,CINCINNATI,13,100.0,0,138,65.0,81.9,60.2,2,15,417,100.0,100.0,98.0,2,17,0,906,0,0,0,906,439,439,906,0,467,0
Stefano Millin,45555,T,PITTSBURGH,14,99.9,0,268,67.2,74.0,61.7,1,13,382,99.7,99.8,97.4,4,17,3,906,0,0,895,907,402,403,0,4,504,8
Josh McCauley,40870,C,ARIZONA,12,100.0,0,109,62.1,73.9,57.3,1,15,439,100.0,100.0,97.9,6,17,1,906,906,0,0,906,473,473,0,0,433,0
Roger Joseph,59840,T,MEMPHIS,14,100.0,0,218,73.4,73.1,73.9,0,13,399,100.0,100.0,97.6,8,16,3,906,0,0,0,906,425,425,0,906,481,0
Vincent Picozzi,40641,G,TEMPLE,13,100.0,0,306,65.9,65.6,64.3,2,11,450,100.0,100.0,98.1,1,15,2,904,214,0,4,904,462,462,684,0,442,2
Darrin Paulo,37405,T,UTAH,13,100.0,0,328,66.3,77.0,62.1,2,11,429,100.0,100.0,98.0,6,15,2,904,0,0,0,904,453,453,0,901,451,3
Marvis Brown,58500,G,ARK STATE,13,100.0,0,113,51.8,66.4,46.1,2,11,470,100.0,100.0,97.8,3,17,4,904,0,0,0,904,490,490,901,2,414,0
Cohl Cabral,12740,C,ARIZONA ST,13,100.0,0,110,64.2,62.1,64.0,5,13,446,100.0,100.0,98.0,4,18,0,903,902,1,0,903,470,470,0,0,433,0
Quinn Bailey,46669,T,ARIZONA ST,13,100.0,0,110,72.2,79.9,67.0,3,8,436,100.0,100.0,98.5,4,12,1,902,0,0,1,902,460,460,1,898,442,2
Jake Nelson,59915,T,NEVADA,13,99.8,0,239,69.4,79.1,62.1,2,15,514,99.6,99.6,97.8,3,20,3,902,0,0,874,904,535,537,0,0,367,30
Justice Powers,60148,T,UAB,14,100.0,0,321,62.6,71.4,58.5,4,11,360,100.0,100.0,97.1,4,18,3,900,0,0,2,900,368,368,0,895,532,3
Tyler Witt,40256,G,W KENTUCKY,12,100.0,0,346,68.0,77.6,64.5,1,14,500,100.0,100.0,97.9,2,18,3,899,0,898,0,899,525,525,0,0,374,0
Jordan Meredith,60235,G,W KENTUCKY,12,100.0,0,346,62.1,66.3,64.0,2,8,500,100.0,100.0,98.8,8,11,1,899,0,0,0,899,525,525,898,0,374,0
Trent Moore,28263,T,OREGON ST,12,99.9,0,265,65.3,62.3,68.2,4,27,495,99.8,99.8,96.1,5,35,4,899,0,0,2,900,512,513,0,897,387,1
Seth Joest,41891,C,W KENTUCKY,12,100.0,2,346,73.5,85.6,72.2,1,9,499,100.0,100.0,98.6,8,12,2,898,898,0,0,898,524,524,0,0,374,0
