player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Isiah Williams,34162,TE,DELWARE ST,1,76.0,0,152,50.5,70.2,43.5,0,0,3,21.4,20.0,100.0,0,0,0,38,0,0,0,50,3,15,0,0,35,50
Jason Hill,34231,WR,WOFFORD,1,77.6,0,350,64.0,,61.5,0,0,0,0.0,0.0,,0,0,0,38,0,0,0,49,0,11,0,0,38,0
Malik Thirdgill,52178,TE,PORTLAND,6,77.6,0,269,56.5,67.4,61.4,0,0,1,8.3,8.3,100.0,0,0,0,38,0,0,0,49,1,12,0,0,37,25
Jerrick Orr,78922,WR,SE MO ST,2,38.4,0,293,57.1,,60.7,0,0,0,0.0,0.0,,0,0,0,38,0,0,0,99,0,61,0,0,38,0
Nathan Hawthorne,52181,WR,PORTLAND,6,59.4,0,269,57.2,,73.1,0,0,0,0.0,0.0,,0,0,0,38,0,0,0,64,0,25,0,0,38,0
Charles Mosley,30180,T,AUSTINPEAY,1,100.0,0,116,69.4,82.4,64.0,0,0,16,100.0,100.0,100.0,0,0,0,38,0,0,0,38,16,16,0,38,22,0
Damien Dawson,57089,TE,SE LA,3,84.1,0,294,55.9,45.2,59.8,1,1,14,66.7,66.7,92.9,0,2,0,37,0,0,0,44,14,21,0,0,23,27
Damon Jackson,31331,WR,SACRAMENTO,4,49.3,0,279,50.7,,49.9,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,75,0,38,0,0,37,0
Tynan Williams,63637,TE,INDIANA ST,3,60.7,0,191,60.2,29.9,52.0,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,61,0,24,0,0,37,52
Lester Wells,61194,WR,CENT ARK,2,43.5,0,132,59.7,,58.0,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,85,0,48,0,0,37,0
