player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Zerrick Cooper,40465,QB,JVILLE ST,10,64.9,302,325,9.3,2.58,6,12,3.4,53.5,174,1,114,11.2,367,22,108,196,42.8,61.6,64.2,51.6,1,7,390,3,17.5,78.5,5.4,20,20,0,16,13,21,5.4,2140,6.6
Seth Morgan,103954,QB,VA MILT IN,10,69.2,305,324,8.5,2.28,6,18,5.2,61.4,199,0,78,5.7,352,12,108,336,74.8,59.7,57.2,63.1,0,11,375,0,16.7,80.8,3.7,13,14,0,13,14,16,4.3,2120,6.5
Mason Randall,91728,QB,SAN DIEGO,11,68.9,312,317,9.0,2.39,3,21,6.3,63.4,201,0,88,6.5,334,14,107,283,71.6,76.2,72.3,74.3,1,7,354,0,13.6,87.7,3.6,12,5,0,1,12,15,4.2,2235,7.1
George Martin,103959,QB,ROB MORRIS,10,69.3,306,316,8.9,2.48,3,10,3.0,60.4,191,0,89,9.9,347,21,109,277,48.0,62.8,61.0,59.0,2,7,371,0,24.7,84.9,6.3,22,9,0,5,14,17,4.6,2043,6.5
Juwan Carter,91113,QB,NORFOLK,11,71.8,298,311,9.7,2.45,5,18,5.5,63.3,197,1,92,7.9,366,17,130,244,38.5,83.4,79.1,74.0,0,5,383,2,21.7,104.1,5.5,20,34,0,8,21,12,3.1,2495,8.0
Felix Harper,13753,QB,ALCORN ST,11,68.1,304,310,10.4,2.79,3,16,4.8,61.9,192,0,143,7.2,381,15,123,107,46.3,82.9,77.9,74.1,2,5,408,1,23.1,102.0,8.7,33,38,1,0,20,11,2.7,2494,8.0
Quinton Williams,102366,QB,HOWARD,11,67.8,289,309,10.7,2.85,2,14,4.3,59.2,183,0,112,6.6,366,13,120,184,42.7,67.6,67.2,60.2,1,7,384,3,24.1,91.7,7.4,27,30,0,17,16,14,3.6,2405,7.8
Cody Orgeron,23693,QB,MCNEESE,11,72.1,283,307,8.7,2.94,5,9,2.8,58.0,178,0,136,12.7,402,26,125,217,66.0,75.6,75.2,63.6,1,3,420,1,29.4,89.8,10.0,40,53,0,18,14,11,2.6,2080,6.8
Cole Smith,109050,QB,PRINCETON,10,73.8,282,302,9.6,2.6,5,16,5.1,66.6,201,0,88,3.4,364,7,121,272,62.5,81.9,82.6,62.0,4,8,378,2,38.6,97.5,9.3,34,25,3,8,14,9,2.4,2573,8.5
Steven Duncan,40211,QB,TARLETON,11,69.5,292,302,10.9,2.52,1,27,8.5,61.6,186,0,92,8.4,334,17,108,401,46.8,75.2,74.1,60.1,1,9,349,0,14.1,96.0,3.9,13,18,2,6,19,15,4.3,2469,8.2
Jett Duffey,41634,QB,HAMPTON,11,73.0,278,301,11.3,2.9,5,18,5.7,58.8,177,0,109,12.8,359,26,121,178,70.2,86.8,86.6,67.0,5,12,375,2,17.4,86.7,5.3,19,38,1,12,15,13,3.5,2575,8.6
Skyler Perry,82082,QB,ARKAPB,11,62.7,263,300,9.7,2.85,8,12,3.8,50.3,151,0,137,8.5,353,14,80,112,61.5,61.4,55.1,70.0,7,10,378,2,16.8,61.0,6.5,23,28,0,22,6,13,3.4,1745,5.8
Jake Dunniway,60572,QB,SACRAMENTO,12,70.9,285,298,11.2,2.49,3,20,6.4,61.7,184,0,69,8.9,316,18,124,279,62.6,91.8,91.8,55.8,2,5,330,1,13.0,96.1,2.8,9,8,3,5,12,9,2.7,2586,8.7
Kasim Hill,60444,QB,RHODE ISLD,11,66.5,257,286,11.8,2.76,8,24,8.1,52.4,150,0,83,12.3,329,21,104,274,69.6,85.8,82.1,73.7,5,6,342,4,28.9,89.8,7.3,24,19,2,14,18,7,2.0,2182,7.6
Jack Cook,109015,QB,DAYTON,10,71.2,264,283,10.4,2.78,5,25,8.5,59.7,169,0,84,10.1,314,19,120,150,75.9,84.6,81.0,75.0,2,7,326,4,8.3,92.1,2.2,7,23,0,12,14,12,3.7,2317,8.2
Carson Camp,141837,QB,S DAKOTA,12,74.6,260,279,8.5,2.9,5,13,4.4,64.5,180,0,120,7.2,345,14,106,291,41.6,71.7,76.0,51.8,2,7,362,6,25.0,99.4,8.7,30,35,0,12,17,14,3.9,2256,8.1
Orion Olivas,155517,QB,HOU BAPT,8,69.6,257,278,6.8,2.63,3,1,0.3,56.5,157,0,116,12.3,308,22,77,183,61.0,49.8,53.3,35.3,2,13,323,1,15.5,57.7,5.8,18,12,1,15,6,17,5.3,1393,5.0
Theo Day,83515,QB,N IOWA,11,65.3,262,276,12.7,3.0,3,17,5.8,55.8,154,0,129,9.9,338,17,110,255,47.4,69.1,69.0,60.3,9,11,356,3,23.3,86.4,8.9,30,31,0,2,16,18,5.1,2322,8.4
Tyquell Fields,51615,QB,STNY BROOK,11,63.5,255,274,12.5,2.79,3,15,5.2,54.0,148,0,111,8.6,324,14,86,303,73.1,60.5,54.2,72.4,3,10,342,5,20.7,70.4,7.1,23,26,0,13,9,21,6.1,1815,6.6
Spencer Brasch,100574,QB,CAL POLY,7,61.9,260,274,8.8,2.62,2,7,2.4,53.3,146,0,81,9.3,312,15,93,129,30.6,45.4,46.1,52.9,1,9,328,2,25.9,69.9,6.7,21,17,2,9,9,19,5.8,1722,6.3
Lindsey Scott Jr.,40219,QB,NICHOLLS,11,69.3,264,272,11.0,2.91,2,17,6.0,61.8,168,0,92,8.2,334,15,129,243,57.8,88.5,72.5,90.4,0,11,352,0,14.1,88.2,3.9,13,49,1,5,16,14,4.0,2084,7.7
Joe Green,101283,QB,COLUMBIA,10,66.1,257,270,9.4,2.48,1,20,7.1,54.8,148,0,59,12.9,297,22,71,145,51.5,76.1,77.1,54.6,1,3,311,2,20.3,80.9,4.0,12,15,0,11,10,10,3.2,1645,6.1
Camden Orth,108965,QB,LIUSHAR,10,69.4,235,264,8.4,2.63,4,8,2.9,54.5,144,0,111,11.7,301,19,78,1298,42.3,62.8,63.1,61.8,7,5,312,6,27.9,78.8,10.3,31,6,3,15,10,11,3.5,1680,6.4
Dylan McCaffrey,60451,QB,N COLORADO,10,75.1,241,263,5.7,2.43,3,6,2.2,60.5,159,0,97,12.2,301,22,69,253,71.1,60.3,56.6,66.4,5,7,310,2,8.2,69.0,2.7,8,28,0,14,5,12,3.9,1345,5.1
Chris Ferguson,40105,QB,TOWSON,11,67.5,243,261,8.5,2.54,2,8,2.9,56.7,148,0,85,9.8,292,16,75,317,40.3,48.0,50.6,31.5,7,9,306,3,23.5,73.7,6.8,20,9,3,6,11,17,5.6,1549,5.9
Bret Edwards,88638,QB,NEW HAMP,10,72.5,229,260,8.0,3.27,4,7,2.6,60.4,157,0,111,5.4,298,9,86,240,50.0,67.2,67.0,58.6,0,5,309,5,22.5,84.9,8.4,25,13,1,26,12,10,3.2,1566,6.0
Keon Howard,40418,QB,TENN MARTN,10,68.4,247,260,9.9,2.67,6,16,5.9,59.6,155,0,79,8.3,299,14,92,310,26.8,71.6,65.6,70.2,0,7,315,1,11.4,88.9,3.0,9,29,0,7,15,18,5.7,1819,7.0
Richie Kenney,91723,QB,CORNELL,10,58.4,243,257,12.0,2.36,3,17,6.4,46.7,120,0,72,15.5,266,22,66,147,57.8,55.6,56.9,43.4,4,7,276,1,8.3,60.1,2.3,6,3,0,7,5,18,6.5,1481,5.8
Andrew Body,155202,QB,TEXAS STHN,10,72.1,240,256,9.3,2.58,3,16,5.9,60.9,156,0,102,9.8,295,17,103,313,25.3,68.3,64.5,67.0,4,4,314,1,14.7,100.9,5.1,15,23,0,9,14,14,4.5,2230,8.7
Davius Richard,109077,QB,NC CENT,9,66.1,230,253,10.0,2.71,6,13,4.9,54.2,137,0,99,9.9,296,15,89,247,28.1,69.4,61.8,77.5,6,4,310,2,17.2,81.2,5.7,17,25,3,8,10,12,3.9,1661,6.6
Matthew McKay,60485,QB,MONTANA ST,11,68.9,238,248,10.2,2.26,3,12,4.8,61.7,153,0,74,6.7,278,11,100,233,50.1,81.4,78.3,71.5,3,3,282,1,23.0,105.5,6.1,17,13,1,3,17,6,2.1,2037,8.2
Derek Kyler,109012,QB,DARTMOUTH,10,80.7,223,246,8.7,2.5,4,14,5.5,69.1,170,0,71,5.6,271,10,96,148,60.4,90.9,90.7,66.6,3,1,279,1,19.7,116.3,5.2,14,11,4,12,18,2,0.7,2003,8.1
Geremy Hickbottom,62834,QB,TENN STATE,10,68.5,219,242,9.4,2.86,1,14,5.6,57.0,138,0,106,8.0,285,12,86,308,46.2,77.7,73.5,73.5,7,4,295,3,14.2,90.0,5.3,15,27,1,14,12,16,5.4,1789,7.4
Kobe Tracy,141317,QB,DIXIE,8,69.0,232,242,9.4,2.62,0,9,3.6,60.7,147,0,78,8.1,269,13,82,1285,27.8,61.0,64.9,42.7,0,8,280,1,19.2,78.6,5.6,15,12,2,8,8,9,3.2,1665,6.9
Marquez McCray,109056,QB,SACR HEART,12,73.4,207,240,10.7,3.33,0,17,6.6,58.8,141,0,137,7.2,322,11,105,280,65.1,80.4,82.9,58.6,1,7,346,0,24.8,82.8,10.6,34,48,2,30,9,6,1.7,1809,7.5
Bret Bushka,108927,QB,BUTLER,10,70.6,228,240,9.2,2.79,2,9,3.6,60.8,146,0,62,9.3,271,15,96,127,64.6,78.1,72.8,71.9,0,11,282,0,14.5,75.2,3.3,9,21,0,10,9,13,4.6,1669,7.0
Derek Robertson,142298,QB,MAINE,8,61.1,229,238,10.7,2.35,5,10,4.0,50.8,121,0,61,13.6,254,19,79,212,67.4,73.0,71.2,63.7,2,4,268,0,13.1,80.6,3.1,8,6,0,2,12,6,2.2,1507,6.3
Cam Humphrey,39886,QB,MONTANA,10,69.5,220,235,9.8,2.93,4,11,4.6,60.4,142,0,100,7.2,291,11,93,232,52.1,75.8,77.7,57.9,4,7,302,2,23.0,94.3,7.9,23,32,1,6,16,13,4.3,1783,7.6
Darius Perrantes,103934,QB,DUQUESNE,9,68.0,228,235,10.3,2.61,4,16,6.0,59.1,139,0,73,10.3,256,16,83,155,67.8,72.4,73.0,54.0,1,7,287,6,8.2,91.8,2.3,6,14,0,2,17,10,3.5,1621,6.9
Romelo Williams,78489,QB,CENT CT ST,9,67.1,210,234,8.9,2.98,6,13,5.3,56.0,131,1,102,7.1,278,10,79,133,30.9,70.1,64.7,72.6,3,5,292,5,19.6,78.7,7.2,20,24,2,13,10,15,5.1,1382,5.9
Jeff Undercuffler,78501,QB,ALBANY,9,66.0,215,228,9.8,2.37,5,8,3.3,57.5,131,0,65,7.7,258,11,66,106,48.4,52.9,56.8,35.0,4,6,273,3,33.8,77.8,8.5,22,8,0,4,7,13,4.8,1563,6.9
Neil Boudreau,44632,QB,MORGAN ST,10,62.0,205,226,8.4,2.64,6,9,3.8,50.0,113,0,115,11.0,279,14,54,235,42.5,40.2,40.8,52.2,2,12,290,4,15.7,52.7,6.5,18,34,2,11,7,18,6.2,1125,5.0
Kaleb Fletcher,60499,QB,NWSTATE,7,70.4,213,225,8.0,2.37,2,9,3.8,62.7,141,0,83,6.0,268,9,71,257,37.4,65.1,65.9,59.4,2,6,284,2,20.5,79.5,6.3,17,26,1,7,8,8,2.8,1318,5.9
