Name,Pos,Height,Weight,40 yard,Vert,Bench,Broad,3cone,Shuttle,Pick
Nick Bolton,11,71,237,4.6,32,24,0,7.4,4.5,58
Nico Collins,6,76,215,4.43,37.5,14,125,6.78,4.29,89
Noah Gray,5,75,240,4.55,35,15,115,6.83,4.37,162
Pat Freiermuth,5,77,251,0,0,26,0,0,0,55
Patrick Johnson,9,78,240,4.59,35,16,119,6.97,4.41,234
Patrick Jones,8,76,261,4.85,31.5,22,107,0,0,90
Patrick Surtain,13,74,208,4.42,39,18,131,0,0,9
Paulson Adebo,12,73,198,4.45,36.5,18,121,6.69,4.13,76
Payton Turner,8,77,268,0,35.5,23,0,6.98,4.33,28
Penei Sewell,2,76,331,5.13,28,30,109,7.76,4.68,7
Pete Werner,11,74,238,4.58,39.5,20,122,6.95,4.38,60
Quincy Roche,8,0,0,0,32.5,23,119,0,0,216
Quinn Meinerz,2,74,320,4.99,32,0,111,7.54,4.58,98
Racey McMath,6,74,217,4.36,34,0,124,7.38,4.38,205
Rachad Wildgoose,12,71,197,4.53,36,11,120,7.09,4.18,213
Rashad Weaver,8,76,259,4.88,32,20,114,6.97,4.26,135
Rashawn Slater,2,76,304,4.91,33,33,112,7.48,4.45,13
Rashod Bateman,6,72,190,4.39,36,0,123,0,0,27
Rhamondre Stevenson,4,71,231,4.64,31.5,15,112,7.09,4.15,120
Richard LeCounte,13,70,196,4.79,32.5,0,128,7.44,4.49,169
Richie Grant,13,71,197,4.49,34.5,12,129,6.78,4.27,40
Robert Hainsey,2,76,306,5.2,27.5,32,104,7.58,4.63,95
Robert Rochell,13,71,193,4.41,43,9,133,6.84,4.08,130
Rodarius Williams,12,71,189,4.5,36.5,14,123,6.98,4.15,201
Rondale Moore,6,67,180,4.28,42.5,0,0,6.65,4.06,49
Ronnie Perkins,9,74,253,4.71,32,25,115,0,4.69,96
Sam Ehlinger,0,73,220,4.84,36.5,0,114,7.15,4.44,218
Samuel Cosmi,2,77,314,4.87,30,36,117,7.35,4.39,51
Seth Williams,6,75,211,4.49,37,12,124,7.2,4.43,219
Shaka Toney,9,74,242,4.51,39,24,128,6.95,4.28,246
Shaun Wade,12,72,196,0,0,0,0,0,0,160
Shawn Davis,13,70,202,0,39.5,17,128,0,0,165
Simi Fehoko,6,75,222,4.44,34.5,16,120,6.78,4.26,179
Stone Forsythe,2,80,307,5.14,27.5,25,103,7.47,4.65,208
Talanoa Hufanga,14,0,0,4.65,0,0,0,0,0,180
Ta'Quon Graham,8,75,292,4.89,32.5,32,113,7.31,4.68,148
Tarron Jackson,9,74,254,4.68,29,25,118,7.45,4.51,191
Tay Gowan,13,72,186,4.44,35.5,13,118,6.88,4.25,223
Tedarrell Slaton,8,76,330,5.09,29,27,109,7.91,4.81,173
Teven Jenkins,2,77,317,5.01,32.5,36,106,7.72,4.66,39
Tommy Togiai,7,73,296,4.97,32,40,105,7.2,4.49,132
Tommy Tremble,5,75,241,4.6,36.5,20,122,0,0,83
Tony Fields,11,72,222,4.64,34,17,114,7.15,4.48,153
Travis Etienne,4,70,215,4.45,33.5,18,128,0,0,25
Tre Brown,12,69,185,4.42,38,13,123,7.11,4.27,137
Tre' McKitty,5,76,247,0,0,0,0,0,0,97
Tre Nixon,6,72,187,4.44,35.5,18,125,6.81,4.27,242
Tre Norwood,13,71,192,4.58,33.5,12,123,7.65,4.45,245
Trevon Moehrig,14,0,0,4.5,33,0,0,0,4.19,43
Trevor Lawrence,0,77,213,0,0,0,0,0,0,1
Trey Hill,2,75,319,5.5,0,0,0,0,0,190
Trey Lance,0,75,224,0,0,0,0,0,0,3
Trey Sermon,4,72,215,4.57,37,0,125,6.83,4.28,88
Tutu Atwell,6,68,155,4.42,33,0,117,6.89,4.14,57
Tylan Wallace,6,71,194,4.48,33,11,112,6.97,4.25,131
Tyler Shelvin,7,74,350,5.4,28.5,0,97,8.15,5.05,122
Tyree Gillespie,14,0,0,4.38,0,15,0,7.06,0,143
Tyson Campbell,13,73,193,4.4,34.5,12,124,7.15,4.45,33
Victor Dimukeje,9,73,262,4.87,34.5,28,115,7.25,4.35,210
Walker Little,1,79,313,5.3,29.5,24,111,7.44,4.59,45
Will Fries,2,78,309,5.37,31,24,115,7.77,4.53,248
William Bradley-King,10,75,252,4.74,34.5,0,119,7.14,4.26,240
William Sherman,2,75,304,5.19,26,23,108,7.71,4.82,197
Wyatt Davis,2,75,315,0,0,25,0,0,0,86
Wyatt Hubert,9,74,258,4.93,32.5,0,110,7.03,4.28,235
Zach Wilson,0,74,214,0,0,0,0,0,0,2
Zaven Collins,11,76,259,4.67,35,19,122,0,4.36,16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
