player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Trai Hodges,79100,CB,SE MO ST,11,6,0,62.7,0,1,293,62.6,67.0,87.9,56.9,77.7,56.3,0,0,4,99,16.7,10,5,0,111.6,32,0,102,46,304,583,1,0,0,1,0,126,582,4,275,308,12,44,51,0,6,621,297,19.4
Anthony Budd,79108,S,MONMOUTH,9,14,0,87.5,0,0,231,62.0,62.5,87.1,62.4,61.4,51.9,0,0,1,36,20.3,14,0,0,101.4,21,1,145,9,305,528,35,0,0,35,0,205,493,7,216,133,12,41,24,1,0,339,150,16.1
Zafir Kelly,79109,CB,SCAR STATE,10,2,0,52.4,0,1,290,77.6,76.4,85.4,,59.6,40.6,0,0,3,38,27.3,6,3,2,67.1,22,0,9,571,345,589,1,0,0,1,0,0,588,0,244,7,2,14,42,0,3,275,81,12.5
Calique Cato-Jacobs,79111,S,STNY BROOK,9,2,0,58.3,0,0,303,62.6,59.9,0.0,57.6,61.5,61.8,0,0,0,28,15.0,3,2,2,87.2,7,0,149,3,140,266,3,0,0,3,0,43,263,3,123,68,4,15,12,0,0,105,25,15.0
Jawain Granger,79113,CB,DELWARE ST,11,3,0,44.2,0,1,152,66.2,67.2,84.5,77.5,63.4,53.3,0,0,3,50,20.0,5,7,1,41.8,23,1,36,522,304,568,1,0,0,1,0,0,567,4,260,8,4,17,52,1,0,336,79,14.6
Tim Ewing,79119,CB,SCAR STATE,7,3,0,94.7,0,0,290,57.1,57.8,0.0,66.9,63.5,71.6,0,1,1,38,9.5,2,0,1,114.3,18,0,9,17,110,183,3,0,0,3,0,0,180,8,65,153,7,16,19,1,1,237,134,13.2
Jaylen Evans,79121,S,SCAR STATE,12,16,0,54.2,0,0,290,78.5,66.3,0.0,57.1,48.7,63.6,0,0,1,23,16.1,9,6,4,74.1,13,0,172,1,282,474,5,0,0,5,0,198,469,4,188,98,7,31,24,0,1,175,43,13.5
Cobie Durant,79126,CB,SCAR STATE,12,6,1,46.9,0,1,290,79.2,79.4,55.0,68.7,75.4,79.2,0,4,3,36,7.0,3,9,5,64.5,30,1,50,660,457,803,11,0,0,11,0,8,792,15,331,72,14,34,64,5,3,419,115,14.0
De'Markis Doe,79127,S,SCAR STATE,11,2,0,50.0,0,0,290,65.3,66.3,80.6,60.0,67.0,52.6,0,0,0,24,20.0,3,0,0,111.1,6,0,41,3,98,175,0,0,0,0,0,83,175,1,76,47,2,10,12,0,2,80,38,13.3
Eddie Morales III,79129,CB,MONMOUTH,11,12,0,60.5,0,0,231,74.3,76.7,89.4,76.1,77.6,54.0,1,4,3,48,17.9,12,3,1,66.4,26,1,84,99,364,646,56,0,0,56,0,95,590,20,262,309,16,43,43,6,2,284,126,10.9
