player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Conner Cramer,40413,QB,NEW MEX ST,3,51.4,37,39,12.2,3.42,0,1,2.5,43.6,17,0,23,10.5,49,2,11,242,47.8,58.8,51.2,61.1,0,3,50,1,13.0,43.5,6.1,3,7,0,2,2,4,8.0,188,4.8
Arion Worthman,25439,QB,AIR FORCE,7,62.2,37,39,17.9,3.55,0,3,6.7,59.0,23,0,27,0.0,54,0,20,101,77.6,69.9,68.4,63.7,1,2,61,1,22.2,116.1,11.1,6,9,0,1,4,4,6.6,546,14.0
Joe Hubener,46389,QB,KANSAS ST,4,61.5,39,39,11.3,2.55,0,1,2.4,56.4,22,0,10,8.3,43,2,16,199,50.6,64.8,69.5,58.0,0,1,45,2,30.0,76.3,7.0,3,1,0,0,1,2,4.4,275,7.1
Jack Milas,22500,QB,BALL ST,1,61.8,34,38,11.1,2.44,0,1,2.5,52.6,20,0,8,4.8,40,1,14,117,70.0,40.2,38.1,62.3,1,2,42,1,0.0,54.5,0.0,0,2,0,3,1,4,9.5,198,5.2
Daniel Santacaterina,34645,QB,N ILLINOIS,2,55.6,36,38,15.3,2.52,0,5,12.5,47.4,18,0,10,10.0,43,2,17,254,76.6,74.1,70.2,68.5,0,2,45,0,10.0,68.0,2.3,1,4,0,2,1,3,6.7,361,9.5
Drew Barker,26947,QB,KENTUCKY,3,66.7,33,37,9.4,3.29,0,2,5.3,51.4,19,0,20,13.6,48,3,9,202,24.2,30.0,29.5,58.0,0,5,49,1,40.0,78.9,16.7,8,3,1,3,4,6,12.2,334,9.0
Caleb Rowe,18200,QB,MARYLAND,5,60.6,33,37,10.7,2.63,1,4,10.3,51.4,19,0,22,5.0,42,1,12,215,41.2,49.7,52.0,50.8,0,3,44,0,13.6,44.4,7.1,3,2,0,3,0,5,11.4,296,8.0
Nick Schuessler,12061,QB,CLEMSON,5,76.5,34,36,9.0,2.05,0,5,12.5,66.7,24,0,8,7.7,42,2,18,140,71.3,82.1,84.5,58.3,0,0,46,0,25.0,124.4,4.8,2,3,2,0,3,1,2.2,337,9.4
Daniel Parr,34390,QB,FAU,9,53.1,32,36,8.6,2.73,2,0,0.0,41.7,15,0,19,11.8,44,2,8,165,70.2,34.1,31.6,54.9,1,2,45,0,15.8,26.2,6.8,3,5,0,1,0,4,8.9,106,2.9
Tyrell Goodman,16596,QB,AKRON,2,51.6,31,35,21.6,3.19,0,4,10.5,42.9,15,0,24,6.3,53,1,12,102,18.3,28.6,26.9,50.2,1,3,58,0,25.0,44.1,11.3,6,11,0,3,1,10,17.2,273,7.8
Kyle Kearns,34204,QB,WAKE,4,57.6,33,35,11.1,2.49,0,1,2.7,37.1,13,0,8,31.6,40,6,6,339,70.9,49.3,48.4,55.7,0,2,43,0,50.0,33.8,10.0,4,0,0,2,0,2,4.7,206,5.9
Zach Abey,35594,QB,NAVY,3,58.8,34,35,15.4,2.91,0,0,0.0,57.1,20,0,25,0.0,47,0,15,237,52.2,43.3,44.7,49.4,1,4,47,0,28.0,61.5,14.9,7,5,0,0,1,4,8.5,352,10.1
Conor Blount,39950,QB,OREGON ST,3,67.7,31,35,11.1,3.01,2,0,0.0,54.3,19,0,16,9.5,46,2,7,265,23.8,33.2,37.3,43.7,0,2,47,1,37.5,45.3,13.0,6,5,0,2,0,3,6.4,183,5.2
Christian Alexander-Stevens,103945,,FIU,4,68.8,32,34,10.2,2.43,2,2,5.7,58.8,20,0,13,9.1,39,2,14,166,40.4,72.3,70.3,68.7,0,0,40,1,23.1,116.8,7.7,3,2,0,0,4,1,2.5,216,6.4
John O'Korn,46515,QB,MICHIGAN,7,71.9,32,34,8.2,2.97,1,0,0.0,58.8,20,0,19,13.0,43,3,11,222,73.2,55.2,55.2,55.1,1,0,45,0,15.8,91.9,7.0,3,6,0,0,2,1,2.2,173,5.1
Tanner Mangum,34607,QB,BYU,4,72.7,33,33,8.4,3.04,0,0,0.0,66.7,22,0,19,8.3,39,2,17,128,50.7,57.9,52.9,65.9,0,1,43,0,15.8,105.7,7.7,3,3,0,0,3,3,7.0,241,7.3
Max Bortenschlager,46500,QB,MARYLAND,2,59.4,32,33,8.8,2.54,0,0,0.0,48.5,16,0,13,15.8,43,3,8,215,11.7,29.5,33.5,40.0,1,0,43,0,46.2,79.0,14.0,6,4,0,0,1,3,7.0,209,6.3
Chayce Crouch,32855,QB,ILLINOIS,4,67.9,28,32,6.9,3.09,0,1,2.9,56.3,18,0,18,5.3,39,1,12,187,47.2,71.3,65.1,73.1,0,1,42,4,16.7,78.8,7.7,3,4,0,4,1,1,2.4,249,7.8
Elijah Sindelar,46466,QB,PURDUE,5,48.4,31,32,12.6,2.72,0,0,0.0,43.8,14,0,10,6.7,34,1,11,273,30.6,39.6,40.5,55.5,0,3,35,1,10.0,21.0,2.9,1,1,0,1,0,3,8.6,165,5.2
Jason Stewart,38678,QB,MEMPHIS,5,84.6,26,32,4.8,2.34,4,1,2.9,65.6,21,0,8,4.5,35,1,13,218,76.3,70.8,79.1,55.6,2,0,37,0,12.5,107.4,2.9,1,2,0,0,2,1,2.7,229,7.2
Jalan McClendon,46423,QB,NC STATE,8,66.7,27,31,4.4,2.46,1,1,3.2,54.8,17,0,10,5.6,33,1,9,248,35.7,49.5,46.6,56.1,1,4,33,0,20.0,43.3,6.1,2,0,0,2,1,2,6.1,181,5.8
Tyler Hilinski,34047,QB,WASH STATE,3,82.8,29,30,6.0,2.55,0,0,0.0,80.0,24,0,6,0.0,30,0,11,341,69.3,75.1,74.3,60.1,1,1,31,0,0.0,109.0,0.0,0,0,0,0,2,1,3.2,245,8.2
Faton Bauta,46470,QB,COLO STATE,5,51.9,27,29,11.3,2.68,1,0,0.0,41.4,12,0,10,14.3,31,2,8,144,75.3,69.7,61.0,70.2,0,0,32,0,0.0,64.4,0.0,0,2,0,1,1,0,0.0,114,3.9
Joe Burrow,28022,QB,OHIO STATE,4,82.1,28,28,4.7,2.05,0,1,3.6,78.6,22,0,4,4.3,30,1,10,260,73.0,73.7,67.8,69.6,0,0,30,0,25.0,124.1,3.3,1,1,0,0,2,2,6.7,226,8.1
Austin Wilson,38034,QB,SYRACUSE,1,79.2,24,28,4.8,2.45,0,0,0.0,60.7,17,0,7,10.5,28,2,8,304,68.7,57.7,60.1,59.5,1,2,29,1,0.0,40.2,0.0,0,0,0,3,0,2,6.9,116,4.1
Kyle Bolin,46414,QB,LOUISVILLE,4,77.3,22,26,8.7,2.4,1,0,0.0,65.4,17,0,8,0.0,28,0,14,210,29.4,57.8,62.4,45.6,0,1,30,0,12.5,103.2,3.6,1,0,0,3,2,0,0.0,231,8.9
Brett Kean,46591,QB,USF,7,76.0,25,26,7.7,2.0,0,2,7.4,69.2,18,0,5,5.3,29,1,7,327,70.6,63.1,63.8,56.5,0,1,30,0,40.0,90.1,6.9,2,0,0,1,2,1,3.3,129,5.0
John Franklin III,25576,QB,AUBURN,7,69.6,23,26,13.0,2.96,0,2,7.1,53.8,14,0,15,12.5,36,2,13,115,59.2,74.9,72.6,68.6,0,0,38,0,6.7,92.5,2.8,1,9,0,3,1,0,0.0,204,7.8
Brandon Harris,46538,QB,LSU,2,58.3,24,25,11.1,2.9,0,1,3.8,52.0,13,0,10,7.1,28,1,9,211,69.1,44.8,43.2,59.5,1,2,29,0,30.0,48.6,10.7,3,0,0,0,1,2,6.9,139,5.6
Sawyer Smith,46505,QB,TROY,6,79.2,24,25,7.1,2.61,0,2,8.0,72.0,18,0,6,5.3,30,1,10,318,46.4,59.7,68.5,52.6,0,1,30,1,16.7,88.9,3.3,1,4,0,1,1,1,3.3,181,7.2
Blake LaRussa,28141,QB,DOMINION,7,72.7,22,24,10.4,2.71,1,0,0.0,58.3,14,0,9,12.5,29,2,7,263,29.7,55.2,51.3,65.2,0,1,31,0,55.6,57.6,17.2,5,0,0,1,0,2,6.5,140,5.8
Eddie Printz,29155,QB,TEXAS ST,5,60.0,20,24,15.5,2.96,2,0,0.0,50.0,12,0,10,0.0,30,0,9,314,73.3,68.2,74.9,55.7,0,1,30,0,20.0,76.4,6.7,2,4,0,2,1,0,0.0,208,8.7
Malik Zaire,46634,QB,NOTRE DAME,7,59.1,22,23,10.3,3.53,0,1,4.2,47.8,11,0,8,15.4,29,2,8,258,74.5,51.7,55.0,53.0,0,0,31,0,37.5,78.5,10.3,3,3,0,1,1,0,0.0,122,5.3
Nick Patti,46582,QB,UCF,5,70.6,17,23,4.3,2.84,1,0,0.0,52.2,12,0,14,0.0,29,0,6,323,31.9,48.8,53.4,47.1,0,0,32,0,21.4,70.4,10.3,3,3,0,5,0,0,0.0,137,6.0
Chris Carter,46512,QB,ARMY,9,45.0,20,23,16.8,2.96,0,2,8.3,39.1,9,0,14,0.0,27,0,8,114,79.8,62.8,57.3,62.2,1,1,28,2,21.4,77.4,11.1,3,1,0,2,2,1,3.6,176,7.7
